video_name,frame_number,angle_group,angle_value,categories
01.mp4,1,group1,147.331579,case0
01.mp4,2,group1,147.3381497,case0
01.mp4,3,group1,146.6522621,case0
01.mp4,4,group1,144.9530886,case0
01.mp4,5,group1,140.5813987,case0
01.mp4,6,group1,137.9271189,case0
01.mp4,7,group1,134.2146925,case0
01.mp4,8,group1,129.9626948,case0
01.mp4,9,group1,122.9108797,case0
01.mp4,10,group1,113.1307113,case0
01.mp4,11,group1,106.4946293,case0
01.mp4,12,group1,101.4326532,case0
01.mp4,13,group1,96.0495352,case0
01.mp4,14,group1,76.90389341,case0
01.mp4,15,group1,72.23884006,case0
01.mp4,16,group1,67.4763199,case0
01.mp4,17,group1,64.9549624,case0
01.mp4,18,group1,60.50409695,case0
01.mp4,19,group1,55.77391091,case0
01.mp4,20,group1,53.55423604,case0
01.mp4,21,group1,51.86216595,case0
01.mp4,22,group1,50.67402723,case0
01.mp4,23,group1,47.58744083,case0
01.mp4,24,group1,46.62670301,case0
01.mp4,25,group1,46.21604472,case0
01.mp4,26,group1,45.89236888,case0
01.mp4,27,group1,46.09328231,case0
01.mp4,28,group1,46.67791918,case0
01.mp4,29,group1,46.56144397,case0
01.mp4,30,group1,46.71841879,case0
01.mp4,31,group1,47.52094894,case0
01.mp4,32,group1,47.6752839,case0
01.mp4,33,group1,49.10850689,case0
01.mp4,34,group1,48.47995873,case0
01.mp4,35,group1,52.27627349,case0
01.mp4,36,group1,55.93402421,case0
01.mp4,37,group1,57.96845752,case0
01.mp4,38,group1,65.59053883,case0
01.mp4,39,group1,70.06569243,case0
01.mp4,40,group1,71.50740876,case0
01.mp4,41,group1,75.7325228,case0
01.mp4,42,group1,78.38708265,case0
01.mp4,43,group1,81.09227469,case0
01.mp4,44,group1,88.1910952,case0
01.mp4,45,group1,96.15284181,case0
01.mp4,46,group1,99.34777891,case0
01.mp4,47,group1,102.6388373,case0
01.mp4,48,group1,107.4442373,case0
01.mp4,49,group1,112.5852524,case0
01.mp4,50,group1,126.4814977,case0
01.mp4,51,group1,132.3542856,case0
01.mp4,52,group1,132.3730413,case0
01.mp4,53,group1,134.7715032,case0
01.mp4,54,group1,139.44603,case0
01.mp4,55,group1,141.5668857,case0
01.mp4,56,group1,143.1225159,case0
01.mp4,57,group1,144.297732,case0
01.mp4,58,group1,147.3828738,case0
01.mp4,59,group1,148.4610738,case0
01.mp4,60,group1,150.0135075,case0
01.mp4,61,group1,150.7479714,case0
01.mp4,62,group1,153.1303004,case0
01.mp4,1,group2,5.44588741,case0
01.mp4,2,group2,5.403765634,case0
01.mp4,3,group2,5.458789638,case0
01.mp4,4,group2,5.578782401,case0
01.mp4,5,group2,6.071484927,case0
01.mp4,6,group2,6.002916658,case0
01.mp4,7,group2,6.820189773,case0
01.mp4,8,group2,7.772960181,case0
01.mp4,9,group2,8.640496659,case0
01.mp4,10,group2,8.596708316,case0
01.mp4,11,group2,8.926340075,case0
01.mp4,12,group2,10.14289922,case0
01.mp4,13,group2,9.988072491,case0
